ID	Token (bytes)	Token (decoded)	Length
================================================================================
0	00	'\x00'	1
1	01	'\x01'	1
2	02	'\x02'	1
3	03	'\x03'	1
4	04	'\x04'	1
5	05	'\x05'	1
6	06	'\x06'	1
7	07	'\x07'	1
8	08	'\x08'	1
9	09	'\t'	1
10	0a	'\n'	1
11	0b	'\x0b'	1
12	0c	'\x0c'	1
13	0d	'\r'	1
14	0e	'\x0e'	1
15	0f	'\x0f'	1
16	10	'\x10'	1
17	11	'\x11'	1
18	12	'\x12'	1
19	13	'\x13'	1
20	14	'\x14'	1
21	15	'\x15'	1
22	16	'\x16'	1
23	17	'\x17'	1
24	18	'\x18'	1
25	19	'\x19'	1
26	1a	'\x1a'	1
27	1b	'\x1b'	1
28	1c	'\x1c'	1
29	1d	'\x1d'	1
30	1e	'\x1e'	1
31	1f	'\x1f'	1
32	20	' '	1
33	21	'!'	1
34	22	'"'	1
35	23	'#'	1
36	24	'$'	1
37	25	'%'	1
38	26	'&'	1
39	27	"'"	1
40	28	'('	1
41	29	')'	1
42	2a	'*'	1
43	2b	'+'	1
44	2c	','	1
45	2d	'-'	1
46	2e	'.'	1
47	2f	'/'	1
48	30	'0'	1
49	31	'1'	1
50	32	'2'	1
51	33	'3'	1
52	34	'4'	1
53	35	'5'	1
54	36	'6'	1
55	37	'7'	1
56	38	'8'	1
57	39	'9'	1
58	3a	':'	1
59	3b	';'	1
60	3c	'<'	1
61	3d	'='	1
62	3e	'>'	1
63	3f	'?'	1
64	40	'@'	1
65	41	'A'	1
66	42	'B'	1
67	43	'C'	1
68	44	'D'	1
69	45	'E'	1
70	46	'F'	1
71	47	'G'	1
72	48	'H'	1
73	49	'I'	1
74	4a	'J'	1
75	4b	'K'	1
76	4c	'L'	1
77	4d	'M'	1
78	4e	'N'	1
79	4f	'O'	1
80	50	'P'	1
81	51	'Q'	1
82	52	'R'	1
83	53	'S'	1
84	54	'T'	1
85	55	'U'	1
86	56	'V'	1
87	57	'W'	1
88	58	'X'	1
89	59	'Y'	1
90	5a	'Z'	1
91	5b	'['	1
92	5c	'\\'	1
93	5d	']'	1
94	5e	'^'	1
95	5f	'_'	1
96	60	'`'	1
97	61	'a'	1
98	62	'b'	1
99	63	'c'	1
100	64	'd'	1
101	65	'e'	1
102	66	'f'	1
103	67	'g'	1
104	68	'h'	1
105	69	'i'	1
106	6a	'j'	1
107	6b	'k'	1
108	6c	'l'	1
109	6d	'm'	1
110	6e	'n'	1
111	6f	'o'	1
112	70	'p'	1
113	71	'q'	1
114	72	'r'	1
115	73	's'	1
116	74	't'	1
117	75	'u'	1
118	76	'v'	1
119	77	'w'	1
120	78	'x'	1
121	79	'y'	1
122	7a	'z'	1
123	7b	'{'	1
124	7c	'|'	1
125	7d	'}'	1
126	7e	'~'	1
127	7f	'\x7f'	1
128	80	<not UTF-8>	1
129	81	<not UTF-8>	1
130	82	<not UTF-8>	1
131	83	<not UTF-8>	1
132	84	<not UTF-8>	1
133	85	<not UTF-8>	1
134	86	<not UTF-8>	1
135	87	<not UTF-8>	1
136	88	<not UTF-8>	1
137	89	<not UTF-8>	1
138	8a	<not UTF-8>	1
139	8b	<not UTF-8>	1
140	8c	<not UTF-8>	1
141	8d	<not UTF-8>	1
142	8e	<not UTF-8>	1
143	8f	<not UTF-8>	1
144	90	<not UTF-8>	1
145	91	<not UTF-8>	1
146	92	<not UTF-8>	1
147	93	<not UTF-8>	1
148	94	<not UTF-8>	1
149	95	<not UTF-8>	1
150	96	<not UTF-8>	1
151	97	<not UTF-8>	1
152	98	<not UTF-8>	1
153	99	<not UTF-8>	1
154	9a	<not UTF-8>	1
155	9b	<not UTF-8>	1
156	9c	<not UTF-8>	1
157	9d	<not UTF-8>	1
158	9e	<not UTF-8>	1
159	9f	<not UTF-8>	1
160	a0	<not UTF-8>	1
161	a1	<not UTF-8>	1
162	a2	<not UTF-8>	1
163	a3	<not UTF-8>	1
164	a4	<not UTF-8>	1
165	a5	<not UTF-8>	1
166	a6	<not UTF-8>	1
167	a7	<not UTF-8>	1
168	a8	<not UTF-8>	1
169	a9	<not UTF-8>	1
170	aa	<not UTF-8>	1
171	ab	<not UTF-8>	1
172	ac	<not UTF-8>	1
173	ad	<not UTF-8>	1
174	ae	<not UTF-8>	1
175	af	<not UTF-8>	1
176	b0	<not UTF-8>	1
177	b1	<not UTF-8>	1
178	b2	<not UTF-8>	1
179	b3	<not UTF-8>	1
180	b4	<not UTF-8>	1
181	b5	<not UTF-8>	1
182	b6	<not UTF-8>	1
183	b7	<not UTF-8>	1
184	b8	<not UTF-8>	1
185	b9	<not UTF-8>	1
186	ba	<not UTF-8>	1
187	bb	<not UTF-8>	1
188	bc	<not UTF-8>	1
189	bd	<not UTF-8>	1
190	be	<not UTF-8>	1
191	bf	<not UTF-8>	1
192	c0	<not UTF-8>	1
193	c1	<not UTF-8>	1
194	c2	<not UTF-8>	1
195	c3	<not UTF-8>	1
196	c4	<not UTF-8>	1
197	c5	<not UTF-8>	1
198	c6	<not UTF-8>	1
199	c7	<not UTF-8>	1
200	c8	<not UTF-8>	1
201	c9	<not UTF-8>	1
202	ca	<not UTF-8>	1
203	cb	<not UTF-8>	1
204	cc	<not UTF-8>	1
205	cd	<not UTF-8>	1
206	ce	<not UTF-8>	1
207	cf	<not UTF-8>	1
208	d0	<not UTF-8>	1
209	d1	<not UTF-8>	1
210	d2	<not UTF-8>	1
211	d3	<not UTF-8>	1
212	d4	<not UTF-8>	1
213	d5	<not UTF-8>	1
214	d6	<not UTF-8>	1
215	d7	<not UTF-8>	1
216	d8	<not UTF-8>	1
217	d9	<not UTF-8>	1
218	da	<not UTF-8>	1
219	db	<not UTF-8>	1
220	dc	<not UTF-8>	1
221	dd	<not UTF-8>	1
222	de	<not UTF-8>	1
223	df	<not UTF-8>	1
224	e0	<not UTF-8>	1
225	e1	<not UTF-8>	1
226	e2	<not UTF-8>	1
227	e3	<not UTF-8>	1
228	e4	<not UTF-8>	1
229	e5	<not UTF-8>	1
230	e6	<not UTF-8>	1
231	e7	<not UTF-8>	1
232	e8	<not UTF-8>	1
233	e9	<not UTF-8>	1
234	ea	<not UTF-8>	1
235	eb	<not UTF-8>	1
236	ec	<not UTF-8>	1
237	ed	<not UTF-8>	1
238	ee	<not UTF-8>	1
239	ef	<not UTF-8>	1
240	f0	<not UTF-8>	1
241	f1	<not UTF-8>	1
242	f2	<not UTF-8>	1
243	f3	<not UTF-8>	1
244	f4	<not UTF-8>	1
245	f5	<not UTF-8>	1
246	f6	<not UTF-8>	1
247	f7	<not UTF-8>	1
248	f8	<not UTF-8>	1
249	f9	<not UTF-8>	1
250	fa	<not UTF-8>	1
251	fb	<not UTF-8>	1
252	fc	<not UTF-8>	1
253	fd	<not UTF-8>	1
254	fe	<not UTF-8>	1
255	ff	<not UTF-8>	1
256	3c7c656e646f66746578747c3e	'<|endoftext|>'	13
257	2074	' t'	2
258	6865	'he'	2
259	2061	' a'	2
260	7468	'th'	2
261	2073	' s'	2
262	616e	'an'	2
263	2077	' w'	2
264	6e64	'nd'	2
265	2068	' h'	2
266	6564	'ed'	2
267	746f	'to'	2
268	6572	'er'	2
269	2062	' b'	2
270	696e	'in'	2
271	7761	'wa'	2
272	7265	're'	2
273	2066	' f'	2
274	2054	' T'	2
275	6974	'it'	2
