Merge #	Pair (bytes)	Pair (decoded)	Result (hex)
================================================================================
0	(20, 74)	( , t)	2074
1	(68, 65)	(h, e)	6865
2	(20, 61)	( , a)	2061
3	(74, 68)	(t, h)	7468
4	(20, 73)	( , s)	2073
5	(61, 6e)	(a, n)	616e
6	(20, 77)	( , w)	2077
7	(6e, 64)	(n, d)	6e64
8	(20, 68)	( , h)	2068
9	(65, 64)	(e, d)	6564
10	(74, 6f)	(t, o)	746f
11	(65, 72)	(e, r)	6572
12	(20, 62)	( , b)	2062
13	(69, 6e)	(i, n)	696e
14	(77, 61)	(w, a)	7761
15	(72, 65)	(r, e)	7265
16	(20, 66)	( , f)	2066
17	(20, 54)	( , T)	2054
18	(69, 74)	(i, t)	6974
19	(6f, 75)	(o, u)	6f75
20	(61, 73)	(a, s)	6173
21	(68, 61)	(h, a)	6861
22	(20, 6c)	( , l)	206c
23	(20, 69)	( , i)	2069
24	(20, 64)	( , d)	2064
25	(54, 68)	(T, h)	5468
26	(65, 6e)	(e, n)	656e
27	(20, 63)	( , c)	2063
28	(61, 72)	(a, r)	6172
29	(20, 70)	( , p)	2070
30	(61, 79)	(a, y)	6179
31	(20, 6d)	( , m)	206d
32	(6d, 65)	(m, e)	6d65
33	(76, 65)	(v, e)	7665
34	(6f, 6d)	(o, m)	6f6d
35	(61, 74)	(a, t)	6174
36	(20, 6f)	( , o)	206f
37	(6c, 65)	(l, e)	6c65
38	(68, 69)	(h, i)	6869
39	(73, 61)	(s, a)	7361
40	(6e, 65)	(n, e)	6e65
41	(69, 73)	(i, s)	6973
42	(6e, 67)	(n, g)	6e67
43	(6f, 6e)	(o, n)	6f6e
44	(20, 6e)	( , n)	206e
45	(65, 79)	(e, y)	6579
46	(69, 6d)	(i, m)	696d
47	(74, 65)	(t, e)	7465
48	(69, 64)	(i, d)	6964
49	(6c, 6c)	(l, l)	6c6c
50	(6b, 65)	(k, e)	6b65
51	(61, 6c)	(a, l)	616c
52	(6f, 72)	(o, r)	6f72
53	(63, 61)	(c, a)	6361
54	(73, 74)	(s, t)	7374
55	(20, 67)	( , g)	2067
56	(65, 61)	(e, a)	6561
57	(6f, 6f)	(o, o)	6f6f
58	(20, 53)	( , S)	2053
59	(6c, 61)	(l, a)	6c61
60	(6e, 74)	(n, t)	6e74
61	(6c, 69)	(l, i)	6c69
62	(6c, 6f)	(l, o)	6c6f
63	(6f, 74)	(o, t)	6f74
64	(69, 6c)	(i, l)	696c
65	(61, 64)	(a, d)	6164
66	(61, 69)	(a, i)	6169
67	(75, 6e)	(u, n)	756e
68	(72, 69)	(r, i)	7269
69	(75, 74)	(u, t)	7574
70	(77, 69)	(w, i)	7769
71	(65, 74)	(e, t)	6574
72	(73, 68)	(s, h)	7368
73	(61, 6d)	(a, m)	616d
74	(69, 72)	(i, r)	6972
75	(70, 6c)	(p, l)	706c
76	(65, 6c)	(e, l)	656c
77	(62, 69)	(b, i)	6269
78	(73, 65)	(s, e)	7365
79	(72, 6f)	(r, o)	726f
80	(77, 65)	(w, e)	7765
81	(64, 65)	(d, e)	6465
82	(62, 65)	(b, e)	6265
83	(65, 73)	(e, s)	6573
84	(20, 72)	( , r)	2072
85	(72, 79)	(r, y)	7279
86	(48, 65)	(H, e)	4865
87	(20, 48)	( , H)	2048
88	(64, 61)	(d, a)	6461
89	(6d, 61)	(m, a)	6d61
90	(6c, 79)	(l, y)	6c79
91	(68, 6f)	(h, o)	686f
92	(69, 67)	(i, g)	6967
93	(65, 65)	(e, e)	6565
94	(69, 65)	(i, e)	6965
95	(6e, 6f)	(n, o)	6e6f
96	(6f, 77)	(o, w)	6f77
97	(74, 69)	(t, i)	7469
98	(73, 6f)	(s, o)	736f
99	(20, 22)	( , ")	2022
100	(66, 6f)	(f, o)	666f
101	(6d, 6f)	(m, o)	6d6f
102	(54, 69)	(T, i)	5469
103	(20, 75)	( , u)	2075
104	(66, 72)	(f, r)	6672
105	(63, 65)	(c, e)	6365
106	(72, 61)	(r, a)	7261
107	(70, 70)	(p, p)	7070
108	(4f, 6e)	(O, n)	4f6e
109	(20, 79)	( , y)	2079
110	(61, 70)	(a, p)	6170
111	(70, 65)	(p, e)	7065
112	(74, 74)	(t, t)	7474
113	(6c, 64)	(l, d)	6c64
114	(62, 6f)	(b, o)	626f
115	(20, 65)	( , e)	2065
116	(53, 68)	(S, h)	5368
117	(75, 6c)	(u, l)	756c
118	(63, 6b)	(c, k)	636b
119	(64, 6f)	(d, o)	646f
120	(79, 6f)	(y, o)	796f
121	(20, 49)	( , I)	2049
122	(63, 6f)	(c, o)	636f
123	(67, 65)	(g, e)	6765
124	(63, 68)	(c, h)	6368
125	(74, 72)	(t, r)	7472
126	(70, 6f)	(p, o)	706f
127	(75, 73)	(u, s)	7573
128	(61, 77)	(a, w)	6177
129	(6f, 6b)	(o, k)	6f6b
130	(74, 61)	(t, a)	7461
131	(61, 63)	(a, c)	6163
132	(72, 64)	(r, d)	7264
133	(6e, 61)	(n, a)	6e61
134	(62, 61)	(b, a)	6261
135	(75, 72)	(u, r)	7572
136	(67, 68)	(g, h)	6768
137	(75, 70)	(u, p)	7570
138	(6f, 67)	(o, g)	6f67
139	(20, 76)	( , v)	2076
140	(6f, 66)	(o, f)	6f66
141	(69, 63)	(i, c)	6963
142	(62, 75)	(b, u)	6275
